,smiles,Mutagenicity,group
1934,CCCCOCC(=O)O,0,training
1935,CN(C)[P+](On1nnc2ccccc21)(N(C)C)N(C)C,0,training
1936,COc1ccc2c(c1)C1CCCCC1C=C2,1,training
1937,Cc1ccccc1C,0,training
1938,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12,0,training
1941,N#[N+][N-]c1ccc2c(Nc3ccc(C(=O)O)cc3)c3ccccc3nc2c1,1,training
1942,OC[C@@H]1CO[C@@H](CCI)O1,1,training
1945,ClCc1ccncc1,0,training
1948,Brc1ccc2c(c1)C1OC1C1CCCCC21,0,training
1949,CCCCCCCCCCCCCCCC(=O)OCC1(O)CC23CCC4c5ccoc5C=CC4(C)C2CCC1C3,0,training
1951,CC12CCC=C(C=O)C1(C=O)C2,1,training
1952,CSc1ccc(Cl)cc1,0,training
1954,Cc1c2ccc3ccccc3c2cc2ccc(O)c(O)c12,1,training
1955,CCC(CCC(C)O)COC(=O)CCCCC(=O)O,0,training
1956,O=S(=O)(O)OCc1c2ccccc2c(CO)c2c1ccc1ccccc12,1,training
1957,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3cc(S(=O)(=O)O)c4ccccc4c3N)cc2)cc1,1,training
1958,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,training
1959,O=C(O)CCCCCCCCCCCCCCCCCO,0,training
1960,OC1C=Cc2c(ccc3c2sc2ccccc23)C1O,1,training
1961,COC(=O)Nc1nc2cc(/C(=N/O)c3ccc(F)cc3)ccc2[nH]1,1,training
1962,Fc1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,1,training
1963,CC(C)(C#N)N=NC(C)(C)C#N,0,training
1964,C=CC(=O)NCCC[N+](C)(C)C,0,training
1966,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21,0,training
1967,O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1,1,training
1968,O=[N+]([O-])c1c(Cl)cc2c(c1Cl)Oc1cc(Cl)c(Cl)cc1O2,0,training
1969,CCCCOCC=O,0,training
1970,CCCC[C@@H](CC)COC(=O)/C=C/c1ccc(OC)cc1,0,training
1971,CS(=O)CCC(=O)N1C(C(=O)O)CSC1c1ccccc1O,0,training
1972,CCCCOC(=O)c1ccc(O)cc1,0,training
1973,O=[N+]([O-])c1c2ccccc2cc2c3c(ccc12)C(O)C(O)C=C3,1,training
1974,N/C(=N\O)c1ccccc1,1,training
1975,Nc1cc(Cl)cc(C(=O)O)c1Cl,1,training
1976,Nc1ccc(N=Nc2cccc(N)c2N)cc1,1,training
1977,CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O,0,training
1978,Nc1ccc(C(=O)OCCCOC(=O)c2ccc(N)cc2)cc1,0,training
1979,CC(C)COC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1,training
1980,Oc1cnnc(O)n1,1,training
1981,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21,0,training
1982,C=C(C)C(=O)OCCOC(=O)C(=C)C,0,training
1984,Cc1ccccc1-c1ccc(N)cc1,1,training
1985,O=C(O)C(Br)(Br)Br,1,training
1986,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,1,training
1987,O=C(O)c1cc(I)cc2cccnc12,0,training
1988,ClC(Cl)(Cl)[C@@H]1CO1,1,training
1989,O=S(=O)(Cc1ccccc1)N1C2c3ccccc3-c3ccccc3C21,1,training
1990,O=[N+]([O-])c1c2c(c3ccc4cccc5ccc1c3c45)CCCC2O,0,training
1991,O=C(NCc1ccccc1)C(Br)c1ccccc1,0,training
1992,O=C(Cl)c1c(Cl)cccc1Cl,1,training
1993,NC1=CC(=O)C(=O)c2ccccc21,1,training
1995,COS(=O)(=O)F,1,training
1998,C=C(C)C=O,1,training
1999,c1ccc2cc3c(cc2c1)c1c(c2ccccc23)O1,1,training
2000,c1ccc(Cc2ccccc2OCC2CO2)cc1,1,training
2001,CC[n+]1c2ccccc2nc2ccccc21,1,training
2002,CC1=CC2=C(C=O)C(=O)[C@](C)(O)[C@H](O)C2=CO1,1,training
2003,C[n+]1c2ccccc2cc2ccc(N)cc21,1,training
2004,CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,training
2005,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,0,training
2006,O=NN1C(C(=O)O)CSC1C(O)C(O)C(O)C(O)CO,0,training
2008,Clc1cccc(Cl)c1NC1=NCCN1,0,training
2010,N#[N+][N-]CC(=O)O,0,training
2011,C=COCC(F)(F)F,1,training
2012,O=[N+]([O-])c1ccc(Nc2[nH]cnc3ncnc2-3)cc1,0,training
2013,O=C(O)C[C@H](Cl)C(=O)O,0,training
2014,O=C(/C=C/c1ccccc1)c1ccc(O)cc1,0,training
2015,Clc1ccccn1,1,training
2017,COc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O,1,training
2019,Oc1cc2ccc3cccc4ccc(n1)c2c34,1,training
2020,Cc1ccc2nc3c(ccc4ccccc43)c(C)c2c1,1,training
2021,ClCc1cnc(Cl)nc1Cl,1,training
2022,COc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1,1,training
2023,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,1,training
2024,c1ccc(-c2ccccc2)cc1,0,training
2026,CCC1=C(O)C(=O)c2c(O)c(O)c(O)c(O)c2C1=O,1,training
2028,Cc1nc2c(c3[nH]c4ccccc4c13)C(=O)C=CC2=O,1,training
2029,C1COCCOCCOCCOCCO1,0,training
2032,Nc1cccc2c1-c1ccccc1C2,1,training
2033,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC(=O)N2,0,training
2034,O=P(O)(NCCCO)N(CCCl)CCCl,1,training
2035,OCC(Cl)(Cl)Cl,1,training
2036,CCCCNc1snc2ccccc12,0,training
2037,O=CNc1ccccc1,0,training
2038,CCCCOc1ccc(/C=N/c2ccc(CC)cc2)cc1,1,training
2039,CC1=CC(=O)C(C(C)C)=CC1=O,0,training
2040,O=C1OC(O)C(Cl)=C1Cl,1,training
2042,COC(=O)c1occ(-c2ccccc2)c1-c1ccccc1,0,training
2043,CN=[N+](C)[O-],1,training
2045,CCOC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1cccc(N(CCCl)CCCl)c1)NC(=O)[C@@H](N)Cc1ccc(F)cc1,1,training
2046,c1scc2c1-c1cscc1C1OC21,1,training
2047,CC(C)OC(=O)c1cc(Cc2ccc(N)c(C(=O)OC(C)C)c2)ccc1N,0,training
2048,OC1C=Cc2c(ccc3cccnc23)C1O,1,training
2049,c1ccc2cc3c(ccc4ccncc43)cc2c1,1,training
2050,O=C1c2c(O)cccc2Cc2cccc(O)c21,0,training
2051,Nc1cccc2cccc(N)c12,1,training
2053,O=S1(=O)OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br,1,training
2054,CC(=O)Nc1ccc(C)cc1,1,training
2055,Nc1ncnc2c1ncn2C(c1ccccc1)c1ccccc1,1,training
2056,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br,0,training
2057,N#Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1,1,training
2058,Nc1nc(O)c2ncn(C3C=CC(CO)C3)c2n1,0,training
2059,COC(=O)c1c2c(c3ccccc3c1O)OC(C)(C)C=C2,1,training
2060,C=CC(=O)OC(C)(C)C,0,training
2061,Nc1c(S(=O)(=O)O)cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,0,training
2063,O[C@H](CBr)[C@H](O)[C@H](O)[C@@H](O)CBr,1,training
2064,CCc1nc2ccc(NC)c(C)c2nc1CC,1,training
2066,NC(=O)NO,1,training
2067,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,0,training
2069,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,0,training
2071,ClCc1c2ccccc2cc2ccccc12,1,training
2072,C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12,0,training
2074,Cc1cc(C)c(C)cc1C,0,training
2075,Nc1cc(N)c(-c2ccccc2)c([N+](=O)[O-])c1,1,training
2076,CCc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1,1,training
2079,Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0,training
2080,c1ccsc1,0,training
2081,CC(F)(F)F,0,training
2083,CCCN(N=O)C(=N)N[N+](=O)[O-],1,training
2084,O=CO,0,training
2086,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,1,training
2087,CBr,1,training
2088,CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,0,training
2089,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCCl,0,training
2090,CCCCCC(=O)/N=c1\sn(C(=O)CCCCC)c2ccc([N+](=O)[O-])cc12,1,training
2092,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0,training
2093,c1ccc2c(c1)ccc1cc3cnccc3cc12,1,training
2094,ClNc1ccc2c(c1)Cc1ccccc1-2,1,training
2095,Cc1cc2ncccc2c2ncn(C)c12,0,training
2096,C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23,1,training
2097,CC(C)CNc1snc2ccccc12,0,training
2098,Nc1ccc2c(c1)Cc1ccccc1-2,1,training
2099,CN(C)c1ccc(N=Nc2ccc3[nH]ncc3c2)cc1,1,training
2100,BrCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1,training
2101,COC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1,1,training
2102,Cc1cc(C)c2c(ccc3ccccc32)c1,1,training
2103,Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)O)c3)cc2)cc1,1,training
2104,C[N+]1([O-])CC=C(c2ccccc2)CC1,0,training
2105,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@@H]6CC(=O)N2[C@H]1[C@H]6[C@@H]5C[C@@H]43,0,training
2106,CNc1c(C)cc2ncccc2c1N,0,training
2107,COc1nncc2ccccc12,0,training
2108,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,0,training
2110,C[C@H]1CN(N=O)C(=O)NC1=O,1,training
2111,ClCc1cc2c3ccccc3cc3ccc4cccc1c4c32,1,training
2112,Cc1cc(S(=O)(=O)O)c2c(C)ccc(C(C)C)cc1-2,0,training
2113,C1=C[C@H]2O[C@H]2c2ccc3c4c5c(cccc5cc3c21)C=C4,1,training
2114,O=NN1CCN(N=O)CC1,1,training
2116,O=C=Nc1cccc2c(N=C=O)cccc12,0,training
2118,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1,1,training
2119,C1CSCCS1,1,training
2120,NC(=O)C1(C(N)=O)O[C@H]1C(=O)c1ccccc1,1,training
2121,CCCCCn1cc2c3c(cccc31)[C@H]1C=C(C)CN(C)[C@@H]1C2,1,training
2122,Cc1cc(Cc2ccc(N)c(C)c2)ccc1N,1,training
2123,CCCCCC/C=C\CCCCCCOC(C)=O,0,training
2125,CC1CCCC(=O)CCCCCc2cc(O)cc(O)c2C(=O)O1,0,training
2126,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,0,training
2128,OC(=S)c1ccccc1,0,training
2129,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,1,training
2131,O=C(O)C(O)C(O)C(O)C(O)CO,0,training
2132,CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1,1,training
2133,O=S(=O)(O)c1ccc(N=Nc2c(O)ccc3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1,0,training
2135,O=NN1CCC[C@H](O)C1,1,training
2136,O=C(CCl)c1ccc(Cl)cc1Cl,1,training
2137,Nc1ccc2cccc3c2c1-c1ccccc1-3,1,training
2138,CC(=O)OCc1ccc(N=Nc2ccc(COC(C)=O)cc2)cc1,1,training
2139,CC(OP(=O)(OC(C)C(Br)CBr)OC(C)C(Br)CBr)C(Br)CBr,1,training
2140,O[C@@H]1C=Cc2ccc3c(ccc4ccccc43)c2[C@H]1O,1,training
2141,C1CC2OC2CC1COCC1CCC2OC2C1,1,training
2142,CC1(c2ccccc2)C(=O)c2ccccc2N1O,0,training
2143,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,1,training
2144,COc1cc(OC)c2c(c1)OC1OC=CC21,1,training
2145,BrCC(Br)(Br)Br,1,training
2146,C[n+]1cccc2c1C=C[C@H]1O[C@@H]21,1,training
2147,CN=NNC,1,training
2148,Cc1cc2ncccc2c2nc([N-][N+]#N)n(C)c12,1,training
2149,COC(=O)C1=C(C)N=C(C)C(=C(O)OCCc2ccc(N3CCN(C(c4ccccc4)c4ccccc4)CC3)cc2)C1c1cccc([N+](=O)[O-])c1,0,training
2150,OC1C=Cc2c(ccc3c(Cl)c4ccccc4cc23)C1O,1,training
2151,O=c1c(=O)c2cc3ccccc3c3ccc4cccc1c4c23,1,training
2152,Cc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1,1,training
2153,CCCCCCCCCCCCCCN(OC(C)=O)c1ccc2c(c1)Cc1ccccc1-2,1,training
2154,C=C=O,1,training
2155,[O-][n+]1cccc2c3c(ccc21)C(O)C(O)C1OC31,0,training
2156,C=Cc1ccccc1Cl,0,training
2157,BrCc1cc2c3c(cccc3c1)-c1ccccc1-2,1,training
2158,Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl,0,training
2159,NC(N)=S(=O)=O,1,training
2160,Fc1cnc2c(ccc3ncc(F)cc32)c1,0,training
2161,C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0,training
2162,O=C1C=CC(=O)c2c(O)c(Cl)c(Cl)c(O)c21,1,training
2163,CC(C)CCCC(C)C1CCC2C3CC=C4CC(OCCOCCO)CCC4(C)C3CCC12C,0,training
2164,CC(=O)Nc1ccc(Oc2ccc(N(O)C=O)cc2)cc1,1,training
2165,O=C(Nc1cccc(Br)c1)c1csc([N+](=O)[O-])c1,1,training
2166,Fc1cnc2ccccc2c1,0,training
2167,Cc1cccc(C(=O)O)c1[N+](=O)[O-],1,training
2168,O=C(/C=C/c1ccccc1)OC/C=C/c1ccccc1,1,training
2169,CCOP(=S)(OCC)OP(=S)(OCC)OCC,1,training
2170,NC(=O)c1cc[n+](COC[n+]2ccccc2/C=N/O)cc1,0,training
2171,O[C@@H]1c2ccccc2-c2cc3c(ccc4ccccc43)nc2[C@H]1O,0,training
2173,O=[N+]([O-])c1cc2c([nH]c3ccccc32)c([N+](=O)[O-])c1O,1,training
2174,BrCc1ccc(Br)cc1,0,training
2175,O=Cc1c(Cl)cccc1Cl,0,training
2179,Nc1nc2c(s1)CCC1NCCCC21,0,training
2180,O=C(O)[C@@H](O)[C@H](O)C(=O)O,0,training
2181,c1ccc2[nH]c(-c3cscn3)nc2c1,1,training
2182,CCCCOc1ccc(CC(=O)NO)cc1,1,training
2183,Cc1cccn2c1nc1ccc(N)nc12,1,training
2186,Cc1ccc2oc(=O)ccc2c1,0,training
2187,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,0,training
2188,ONc1ccccc1,1,training
2190,Cc1ccc(NO)cc1,1,training
2191,Oc1nncc2ccccc12,0,training
2192,Cc1cc(C)c(N)c(C)c1,1,training
2193,CC(C)(C)C1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C=C(C(C)(C)C)C1=O,0,training
2194,O=c1cc(-c2ccccc2)cc(-c2ccccc2)n1/N=C/c1ccc([N+](=O)[O-])o1,1,training
2195,CC1=C(O)C(=O)CO1,1,training
2196,CC[C@@H](Cl)[N+](=O)[O-],1,training
2197,COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N,1,training
2198,O=[N+]([O-])c1ccc(CNCCO)o1,1,training
2199,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,training
2200,COc1cc(CCC(C)=O)ccc1O,0,training
2201,CN[C@H](C)[C@@H](O)c1ccccc1,0,training
2203,CCCC/C=C/C=O,1,training
2204,COC(=O)c1cccc2oc3c4c(cc(OC)c3c(=O)c12)O[C@@H]1OC=C[C@@H]41,1,training
2205,CC1=CC(O)C2CC1C2(C)C,0,training
2206,ICCc1ccc(OCc2ccccc2)cc1,1,training
2207,CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1cc(OC)c(OC)c(OC)c1,1,training
2208,O=C1N[C@@H](c2ccc([N+](=O)[O-])s2)Nc2ccccc21,1,training
2209,C=CC(=O)N1CCN(c2ccccc2)CC1,0,training
2210,c1cnccn1,0,training
2211,CC1c2ccccc2-c2ccccc21,1,training
2212,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,0,training
2213,C=COC,0,training
2214,O=C1c2ccccc2C(=O)c2c1ccc(OC1OC(COC3OCC(O)C(O)C3O)C(O)C(O)C1O)c2O,0,training
2215,O=C(O)C(Cl)Cl,1,training
2216,O=C1c2ccccc2-c2cccc3cccc1c23,1,training
2217,CC(Br)C(Br)COP(=O)(OCC(Br)C(C)Br)OCC(Br)C(C)Br,1,training
2219,CCCCCCC(=O)OCC,0,training
2220,CC(C)(Cl)OC(C)(C)Cl,1,training
2221,Oc1ccc2c(ccc3[nH]c4ccc5ccccc5c4c32)c1,1,training
2222,Cc1ccc2c(c1)C1C(=N2)N(C)c2ccccc2C1C,1,training
2224,COC(=O)C(CSCC(Br)c1ccccc1)NC(C)=O,0,training
2225,CC(=O)Nc1ccc(C(=O)CCl)cc1,1,training
2227,CC1C=C(C=O)C(C=O)=CC2(O)CC(C)(C)CC12,1,training
2228,CC1=C2C(=CC(C)(CO)C2O)C(=O)C(C)(O)C12CC2,1,training
2229,OCCI,1,training
2230,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)OC(C)=O)C3,0,training
2231,O=S(O)c1ccc(Cl)cc1,0,training
2233,Oc1ccccc1-c1nc2ccccc2o1,0,training
2234,CC(C)CN(C(=O)CCCl)c1snc2ccccc12,0,training
2236,COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl,0,training
2237,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1O,0,training
2238,CCCCN(CCC(=O)O)N=O,1,training
2239,Clc1ccc2c(c1)oc1ccccc12,1,training
2240,COc1cc(OC)c(C2OC2C)cc1OC,1,training
2241,COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,1,training
2242,CCC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,1,training
2243,O=C(O)c1cc(N=Nc2ccc(-c3ccc(N=Nc4ccc(N=Nc5ccc(O)c(C(=O)O)c5)c5cc(S(=O)(=O)O)ccc45)cc3)cc2)ccc1O,1,training
2244,O=[N+]([O-])c1cc(NS(=O)(=O)c2cccc3cccnc23)ccc1Cl,0,training
2245,NC(CSC(F)(F)C(F)Cl)C(=O)O,0,training
2246,COc1c2ccoc2c(OC)c2oc(=O)ccc12,0,training
2247,CNC(=O)Oc1cccc2c1OC(C)(C)C2,0,training
2248,CC(C)(C)OC(=O)C(N)C[N-][N+]#N,1,training
2249,CCCCOC(=O)COc1ccc(Cl)cc1Cl,0,training
2250,Nc1ccc(Cl)c(Cl)c1Cl,0,training
2251,Cc1cc2cccc3ccc4c5ccccc5cc1c4c32,1,training
2253,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,training
2254,CCc1c(O)ccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,1,training
2255,CC(=O)[C@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,training
2257,CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(S(=O)(=O)O)cc2)cc1,1,training
2258,Nc1cc2c3c(cccc3c1)-c1ccccc1-2,1,training
2259,Cc1cc2c(C)c3ccccc3nc2c2ccccc12,1,training
2260,O=C/C(Br)=C(\Br)C(=O)O,1,training
2261,O=C1CSC(=S)N1,0,training
2262,CC(C)(C)OC(=O)O/N=C(\C#N)c1ccccc1,0,training
2263,C=CCBr,1,training
2264,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,0,training
2265,O=[N+]([O-])c1ccc(-c2cscn2)o1,1,training
2266,N=C(N)NN=C(/C=C\c1ccc([N+](=O)[O-])o1)/C=C\c1ccc([N+](=O)[O-])o1,1,training
2267,O=S1OC[C@H]2[C@H](CO1)[C@@]1(Cl)C(Cl)=C(Cl)[C@]2(Cl)C1(Cl)Cl,0,training
2268,Clc1ccc(Cl)c(Cl)c1,0,training
2270,CCCCOc1ccc2nc3cc(Cl)ccc3c(NCCCNCCCl)c2n1,1,training
2271,Cc1cc(C)cc(N)c1,1,training
2273,Fc1cc(F)c2cccnc2c1,1,training
2276,Cc1ccc2cc3ccccc3c(C)c2c1,1,training
2278,CC(C)S,0,training
2280,c1ccc2c(c1)cc1sc3cccc4ccc2c1c43,1,training
2282,Cc1ccc(Nc2ccc(O)c3c2C(=O)c2ccccc2C3=O)cc1,0,training
2283,OCc1ccc2nc3c(ccc4ccccc43)c(CO)c2c1,1,training
2284,O=C(NCc1ccccc1)C(Cl)c1ccccc1,1,training
2285,C[C@@H](O)[C@@H](N)[C@H](O)[C@H](O)C=O,0,training
2286,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0,training
2287,O=Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,0,training
2290,OC1c2ccc3c4c(ccc3c2C2OC2C1O)CCC4,1,training
2291,Cc1nccc2c1[nH]c1ccccc12,1,training
2292,COC(=O)C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)C(C)N1N=O,1,training
2293,CCN(CC[N+](C)(C)C)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,1,training
2294,Nc1ccc2nc3cc(N)ccc3nc2c1,1,training
2295,CC(C)(C)c1c(N)ccc2c1Cc1ccccc1-2,0,training
2296,c1ccc2ccccc2c1,0,training
2298,CN1CCc2c1ccc1ccc3ccc(O)cc3c21,1,training
2299,C[C@@H](O)CNC[C@@H](C)O,0,training
2300,c1ccc2[nH]cnc2c1,0,training
2302,COP(=O)(OC)SC,0,training
2303,CCc1ccnc2ccccc12,0,training
2304,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,0,training
2305,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,0,training
2306,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1,1,training
2307,Nc1ccc(/C=C/C(=O)O)cc1,0,training
2308,Fc1ccc(CCl)cc1,0,training
2309,Cc1ccc(C)c(C)c1,0,training
2311,ONc1ccc(Oc2ccccc2)cc1,1,training
2312,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,1,training
2313,Cc1cc2c(O)cccc2c2cc3ccccc3cc12,1,training
2315,CCCC(=O)OCC,0,training
2316,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,0,training
2317,C=CC(=O)OCC(C)(C)COC(=O)C=C,0,training
2318,O=C1C=Cc2ccc3c(ccc4ccccc43)c2C1=O,1,training
2319,Cc1c(O)cccc1O,0,training
2321,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc([N-][N+]#N)ccc12,1,training
2322,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@]3(C)[C@@H](O)[C@H]12,0,training
2323,Cc1ccc(S(=O)(=O)OC(C)C)cc1,1,training
2324,Nc1cccc2nc3cccc(N)c3nc12,0,training
2325,CN(C)CC[C@@H](c1ccccc1)c1ccccn1,0,training
2326,O=[N+]([O-])c1ccc(Cl)cc1,1,training
2327,CCc1cnccn1,0,training
2330,Nc1ccc(C=O)cc1,0,training
2331,O=S(=O)(O)OCc1c2ccccc2cc2c1ccc1ccccc12,1,training
2332,CNc1ccc2ncc(C)nc2c1C,1,training
2333,CC(=O)Nc1cccc2ncccc12,0,training
2334,O=C(O)CC(O)C(=O)O,0,training
2335,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,1,training
2336,COc1cc2ccnc3c2c(c1OC)-c1ccccc1C3=O,1,training
2337,CCOc1cccc2cccnc12,0,training
2338,O=C(/C=C/c1ccccc1)c1ccccc1,0,training
2339,CCOC(=O)CCl,0,training
2340,C#CCOCC[n+]1ccccc1/C=N/O,0,training
2341,CC1=CC(=O)C=C(C)C1=O,0,training
2342,ClCCN(CCCl)CCCl,0,training
2343,N#[N+][N-]CC(N)C(=O)O,1,training
2344,Cn1c(N)nc2cc(O)ccc21,0,training
2345,CS(=O)(=O)N1C2c3ccccc3-c3ccccc3C21,1,training
2346,CCN=NC(C)(C)OO,0,training
2347,COC(C)=O,0,training
2348,ClCC(Cl)Cl,0,training
2349,CC1C=C(C=O)C(C=O)C(O)C2CC(C)(C)CC12,0,training
2350,CC(=O)NN,1,training
2352,CCCCOC(=O)c1cccc2cccnc12,0,training
2354,CC1=CC2(OC3OC(CO)C(O)C(O)C3O)CC(C)C(=O)C2C(C)(O)C12CC2,1,training
2355,Cn1c([N+](=O)[O-])cnc1C(O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O,0,training
2356,CC(=O)Nc1cc2c(cc1O)-c1ccccc1C2,0,training
2358,Cc1cc(C)c2ccccc2c1,0,training
2359,CCCCCCCCCCCC[C@H]1CO1,0,training
2362,O=C(O)c1ccc(Cl)c(Cl)c1,0,training
2363,Cc1ncc2c(n1)CCC2,0,training
2364,CCCCON(OC(C)=O)C(=O)c1ccc2ccccc2c1,1,training
2365,CN(C#N)N=O,1,training
2366,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,0,training
2367,c1ccc2occc2c1,0,training
2368,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1,1,training
2369,C1N2CN3CN1CN(C2)C3,1,training
2371,NC(=O)c1ccc(N)cc1,0,training
2372,Cc1cc(C)c(S(=O)(=O)O)cc1N=Nc1cc(S(=O)(=O)O)c2ccccc2c1O,0,training
2373,COc1ccc(C2OC2C)cc1,1,training
2375,c1ccc2c(c1)ccc1c3ccccc3ccc21,1,training
2376,O=[N+]([O-])c1cccc2nscc12,1,training
2377,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccccc2)cc1,0,training
2378,Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0,training
2379,O=CNc1nc(/C=C\c2ccc([N+](=O)[O-])o2)cs1,1,training
2380,COC(=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12,1,training
2382,CCN(CC)c1ccc(N=Nc2cccnc2)cc1,0,training
2384,Fc1cc2cccnc2c2cccnc12,1,training
2385,CCCCCCCC(=O)/N=c1\sn(C(=O)CCCCCCC)c2ccc([N+](=O)[O-])cc12,1,training
